,entry_time,entry_price,exit_time,exit_price,trend,PNL,cumsum_PNL
0,2022-01-04 09:50,16396.5326,2022-01-04 10:30,16347.62611,bearish,48.906489999999394,48.906489999999394
0,2022-01-04 14:35,16423.7589,2022-01-04 14:55,16408.38108,bullish,-15.37782000000152,33.528669999997874
1,2022-01-10 09:40,15292.35504,2022-01-10 09:55,15324.87534,bearish,-32.520300000000134,1.0083699999977398
1,2022-01-10 13:15,15595.87782,2022-01-10 13:50,15564.11381,bullish,-31.76400999999896,-30.755640000001222
2,2022-01-20 14:20,15104.29192,2022-01-20 15:55,14849.17144,bearish,255.1204799999996,224.36483999999837
3,2022-01-24 04:40,14429.68481,2022-01-24 04:55,14459.93625,bearish,-30.251440000000002,194.11339999999836
2,2022-01-24 12:45,14245.65521,2022-01-24 13:15,14242.88216,bullish,-2.7730500000016036,191.34034999999676
4,2022-01-25 15:30,14095.1543,2022-01-25 17:00,14124.39736,bearish,-29.243060000000696,162.09728999999606
3,2022-01-27 01:50,14124.90155,2022-01-27 01:55,14090.86868,bullish,-34.03287000000091,128.06441999999515
4,2022-01-27 03:00,14262.04141,2022-01-27 04:10,14312.46048,bullish,50.41906999999992,178.48348999999507
5,2022-01-28 08:15,14142.29613,2022-01-28 08:35,14056.83581,bullish,-85.46032000000014,93.02316999999493
6,2022-01-31 09:20,14825.97867,2022-01-31 09:30,14801.52542,bullish,-24.45325000000048,68.56991999999445
5,2022-02-02 10:35,15078.5782,2022-02-02 10:45,15105.80449,bearish,-27.226290000000517,41.34362999999394
6,2022-02-03 11:15,14755.13988,2022-02-03 11:25,14800.26495,bearish,-45.12507000000005,-3.781440000006114
7,2022-02-23 09:40,13896.25108,2022-02-23 10:30,13874.06669,bearish,22.18439000000035,18.402949999994235
7,2022-02-25 04:35,14022.80294,2022-02-25 04:40,14012.21493,bullish,-10.588009999999485,7.814939999994749
8,2022-02-25 07:30,14208.09301,2022-02-25 07:50,14151.11946,bullish,-56.973550000000614,-49.158610000005865
9,2022-02-25 10:30,14246.66359,2022-02-25 10:35,14224.9834,bullish,-21.680190000000948,-70.83880000000681
8,2022-03-01 03:20,14273.1336,2022-03-01 04:15,14239.85702,bearish,33.27657999999974,-37.56222000000707
9,2022-03-10 10:15,13534.99847,2022-03-10 10:40,13549.62,bearish,-14.621530000000348,-52.18375000000742
10,2022-03-11 09:15,13639.11384,2022-03-11 09:40,13658.52518,bearish,-19.411340000000564,-71.59509000000799
11,2022-03-13 21:40,13418.27833,2022-03-13 21:50,13426.34538,bearish,-8.067050000001473,-79.66214000000946
12,2022-03-14 11:50,13194.66977,2022-03-14 12:50,13202.48472,bearish,-7.814949999999953,-87.47709000000941
10,2022-03-16 14:45,14005.40836,2022-03-16 17:00,14094.14592,bullish,88.7375600000014,1.260469999991983
11,2022-03-21 10:55,14561.78276,2022-03-21 11:05,14528.00199,bullish,-33.78076999999939,-32.52030000000741
12,2022-03-22 09:40,14738.50159,2022-03-22 10:00,14747.57702,bullish,9.075430000000779,-23.44487000000663
13,2022-03-23 11:00,14784.13085,2022-03-23 11:05,14747.07283,bullish,-37.0580200000004,-60.50289000000703
14,2022-03-28 15:00,15117.14878,2022-03-29 04:50,15183.70195,bullish,66.55317000000105,6.050279999994018
15,2022-03-29 14:30,15392.18479,2022-03-29 14:40,15379.07583,bullish,-13.10895999999957,-7.058680000005552
16,2022-04-07 02:10,14670.18375,2022-04-07 02:30,14669.67956,bullish,-0.5041899999996531,-7.562870000005205
13,2022-04-08 08:30,14537.32951,2022-04-08 09:05,14507.58226,bearish,29.74725000000035,22.184379999995144
14,2022-04-21 10:55,14082.04534,2022-04-21 11:35,14070.44896,bearish,11.596380000000863,33.78075999999601
15,2022-05-05 09:20,13129.62917,2022-05-05 10:00,13050.97543,bearish,78.65373999999974,112.43449999999575
16,2022-05-08 17:25,12699.80663,2022-05-08 17:30,12719.97425,bearish,-20.16762000000017,92.26687999999558
17,2022-05-09 21:25,12401.07366,2022-05-09 21:55,12389.22518,bullish,-11.848480000000563,80.41839999999502
18,2022-05-12 19:35,12173.17947,2022-05-12 19:55,12162.59147,bullish,-10.587999999999738,69.83039999999528
17,2022-05-25 15:45,11967.97387,2022-05-25 15:55,11992.93131,bearish,-24.957440000000133,44.872959999995146
19,2022-06-01 13:40,12760.5616,2022-06-01 13:50,12719.21797,bullish,-41.34363000000121,3.5293299999939336
18,2022-06-03 10:20,12621.40498,2022-06-03 10:30,12649.89175,bearish,-28.486770000001343,-24.95744000000741
19,2022-06-09 13:55,12543.50752,2022-06-09 15:45,12395.77965,bearish,147.7278699999988,122.77042999999139
20,2022-06-10 08:20,12110.15564,2022-06-10 09:35,12005.28398,bearish,104.8716600000007,227.6420899999921
21,2022-06-13 09:55,11455.51385,2022-06-13 10:15,11485.19199,bearish,-29.678139999999985,197.9639499999921
22,2022-06-16 01:30,11585.04136,2022-06-16 03:00,11463.31065,bearish,121.73070999999982,319.6946599999919
23,2022-06-16 09:35,11257.07267,2022-06-16 10:10,11283.7327,bearish,-26.660030000000916,293.034629999991
20,2022-06-22 09:35,11811.14861,2022-06-22 09:45,11755.81647,bullish,-55.332140000000436,237.70248999999058
21,2022-06-23 05:40,11742.73796,2022-06-23 06:05,11746.00759,bullish,3.2696299999988696,240.97211999998945
22,2022-06-23 21:50,11901.4406,2022-06-23 22:10,11895.40437,bullish,-6.036229999999705,234.93588999998974
23,2022-06-24 09:00,12108.93613,2022-06-24 09:35,12095.35461,bullish,-13.581519999999728,221.35436999999
24,2022-06-28 10:20,11966.83314,2022-06-28 11:20,11869.49887,bearish,97.3342700000012,318.6886399999912
24,2022-06-30 10:45,11653.45201,2022-06-30 11:05,11617.73762,bullish,-35.714390000001,282.9742499999902
25,2022-07-05 03:45,11599.37741,2022-07-05 04:15,11600.38345,bearish,-1.0060400000002119,281.96820999999
26,2022-07-14 03:35,11701.99339,2022-07-14 04:05,11721.86265,bearish,-19.869259999999485,262.0989499999905
25,2022-07-21 11:25,12682.12682,2022-07-21 12:00,12683.13286,bullish,1.0060400000002119,263.1049899999907
26,2022-07-27 14:25,12762.35842,2022-07-27 14:50,12717.33818,bullish,-45.02023999999983,218.0847499999909
27,2022-07-28 10:50,12758.83729,2022-07-28 11:05,12736.45292,bullish,-22.384369999999763,195.70037999999113
28,2022-07-29 13:15,13024.93459,2022-07-31 17:25,13000.28663,bullish,-24.64796000000024,171.0524199999909
27,2022-08-26 10:15,12877.80139,2022-08-26 10:50,12915.77936,bearish,-37.977969999999914,133.07444999999097
28,2022-09-06 09:20,12025.4349,2022-09-06 09:25,12066.43099,bearish,-40.99609000000055,92.07835999999043
29,2022-09-12 09:15,12830.0,2022-09-12 09:35,12815.0,bullish,-15.0,77.07835999999043
30,2022-09-13 01:35,12881.75,2022-09-13 01:40,12869.0,bullish,-12.75,64.32835999999043
29,2022-09-13 14:20,12177.25,2022-09-13 14:55,12119.75,bearish,57.5,121.82835999999043
30,2022-09-20 12:45,11859.75,2022-09-20 13:15,11878.75,bearish,-19.0,102.82835999999043
31,2022-09-22 03:35,11763.5,2022-09-22 03:50,11753.75,bullish,-9.75,93.07835999999043
31,2022-09-26 04:55,11305.0,2022-09-26 05:00,11316.75,bearish,-11.75,81.32835999999043
32,2022-09-28 11:15,11510.25,2022-09-28 11:25,11465.25,bullish,-45.0,36.328359999990425
32,2022-09-29 01:25,11442.0,2022-09-29 01:35,11456.5,bearish,-14.5,21.828359999990425
33,2022-09-30 02:20,11332.75,2022-09-30 02:45,11325.0,bullish,-7.75,14.078359999990425
34,2022-09-30 10:20,11341.25,2022-09-30 10:30,11328.75,bullish,-12.5,1.5783599999904254
35,2022-10-03 08:10,11127.0,2022-10-03 08:25,11105.0,bullish,-22.0,-20.421640000009575
36,2022-10-05 12:15,11603.25,2022-10-05 12:35,11599.25,bullish,-4.0,-24.421640000009575
33,2022-10-07 11:45,11128.5,2022-10-07 12:10,11137.75,bearish,-9.25,-33.671640000009575
34,2022-10-14 09:40,10859.75,2022-10-14 09:55,10917.0,bearish,-57.25,-90.92164000000957
37,2022-10-17 08:25,11001.25,2022-10-17 09:25,11090.0,bullish,88.75,-2.1716400000095746
35,2022-10-18 10:35,11103.0,2022-10-18 10:50,11151.25,bearish,-48.25,-50.421640000009575
36,2022-10-20 13:10,11060.75,2022-10-20 13:30,11084.25,bearish,-23.5,-73.92164000000957
37,2022-10-20 18:10,10999.75,2022-10-20 23:20,11023.75,bearish,-24.0,-97.92164000000957
38,2022-10-24 11:15,11442.0,2022-10-24 11:30,11423.0,bullish,-19.0,-116.92164000000957
