,entry_time,entry_price,exit_time,exit_price,trend,PNL,cumsum_PNL
0,2022-10-05 11:05,11490.25,2022-10-05 12:35,11599.25,bullish,109.0,109.0
1,2022-10-05 19:10,11713.25,2022-10-05 19:50,11714.5,bullish,1.25,110.25
0,2022-10-07 08:40,11275.0,2022-10-07 09:20,11255.0,bearish,20.0,130.25
1,2022-10-07 10:45,11170.0,2022-10-07 11:05,11193.5,bearish,-23.5,106.75
2,2022-10-07 11:45,11128.5,2022-10-07 12:10,11137.75,bearish,-9.25,97.5
3,2022-10-10 09:35,10954.5,2022-10-10 10:20,10982.5,bearish,-28.0,69.5
4,2022-10-10 11:40,10925.0,2022-10-10 12:15,10919.75,bearish,5.25,74.75
2,2022-10-10 12:45,11036.75,2022-10-10 13:10,10994.75,bullish,-42.0,32.75
5,2022-10-10 21:20,10935.25,2022-10-10 21:30,10940.0,bearish,-4.75,28.0
3,2022-10-11 11:15,10978.75,2022-10-11 12:05,11003.0,bullish,24.25,52.25
4,2022-10-12 01:25,10958.0,2022-10-12 01:50,10949.25,bullish,-8.75,43.5
6,2022-10-12 07:45,10886.25,2022-10-12 08:35,10906.5,bearish,-20.25,23.25
5,2022-10-13 10:00,10683.0,2022-10-13 11:10,10956.0,bullish,273.0,296.25
7,2022-10-14 03:15,11070.0,2022-10-14 04:15,11028.75,bearish,41.25,337.5
8,2022-10-14 09:40,10859.75,2022-10-14 09:55,10917.0,bearish,-57.25,280.25
6,2022-10-16 17:45,10798.25,2022-10-17 00:35,10815.0,bullish,16.75,297.0
7,2022-10-17 01:10,10850.5,2022-10-17 09:25,11090.0,bullish,239.5,536.5
8,2022-10-18 07:10,11369.0,2022-10-18 07:25,11362.5,bullish,-6.5,530.0
9,2022-10-18 07:30,11379.25,2022-10-18 08:05,11374.25,bullish,-5.0,525.0
9,2022-10-18 10:35,11103.0,2022-10-18 10:50,11151.25,bearish,-48.25,476.75
10,2022-10-18 14:00,11116.25,2022-10-18 14:20,11142.0,bearish,-25.75,451.0
11,2022-10-19 07:05,11126.75,2022-10-19 09:05,11182.75,bearish,-56.0,395.0
12,2022-10-19 11:40,11134.0,2022-10-19 12:25,11087.5,bearish,46.5,441.5
13,2022-10-19 20:10,11028.25,2022-10-19 20:40,11031.75,bearish,-3.5,438.0
10,2022-10-20 00:10,11145.75,2022-10-20 00:35,11110.0,bullish,-35.75,402.25
14,2022-10-20 02:05,11054.5,2022-10-20 05:50,11170.0,bearish,-115.5,286.75
15,2022-10-20 12:05,11127.75,2022-10-20 13:30,11084.25,bearish,43.5,330.25
16,2022-10-20 18:10,10999.75,2022-10-20 23:20,11023.75,bearish,-24.0,306.25
11,2022-10-21 14:35,11361.25,2022-10-21 14:55,11354.0,bullish,-7.25,299.0
12,2022-10-23 17:00,11499.0,2022-10-23 17:35,11474.25,bullish,-24.75,274.25
17,2022-10-24 03:15,11289.0,2022-10-24 03:50,11298.25,bearish,-9.25,265.0
13,2022-10-24 05:55,11384.5,2022-10-24 07:00,11407.5,bullish,23.0,288.0
14,2022-10-24 10:50,11408.75,2022-10-24 11:30,11423.0,bullish,14.25,302.25
