,entry_time,entry_price,exit_time,exit_price,trend,PNL,cumsum_PNL
0,2022-10-12 07:45,10886.25,2022-10-12 08:35,10906.5,bearish,-20.25,-20.25
0,2022-10-13 10:00,10683.0,2022-10-13 11:10,10956.0,bullish,273.0,252.75
1,2022-10-14 03:15,11070.0,2022-10-14 04:15,11028.75,bearish,41.25,294.0
2,2022-10-14 09:40,10859.75,2022-10-14 09:55,10917.0,bearish,-57.25,236.75
1,2022-10-16 17:45,10798.25,2022-10-17 00:35,10815.0,bullish,16.75,253.5
2,2022-10-17 01:10,10850.5,2022-10-17 09:25,11090.0,bullish,239.5,493.0
3,2022-10-18 07:10,11369.0,2022-10-18 07:25,11362.5,bullish,-6.5,486.5
4,2022-10-18 07:30,11379.25,2022-10-18 08:05,11374.25,bullish,-5.0,481.5
3,2022-10-18 10:35,11103.0,2022-10-18 10:50,11151.25,bearish,-48.25,433.25
4,2022-10-18 14:00,11116.25,2022-10-18 14:20,11142.0,bearish,-25.75,407.5
5,2022-10-19 07:05,11126.75,2022-10-19 09:05,11182.75,bearish,-56.0,351.5
6,2022-10-19 11:40,11134.0,2022-10-19 12:25,11087.5,bearish,46.5,398.0
7,2022-10-19 20:10,11028.25,2022-10-19 20:40,11031.75,bearish,-3.5,394.5
5,2022-10-20 00:10,11145.75,2022-10-20 00:35,11110.0,bullish,-35.75,358.75
8,2022-10-20 02:05,11054.5,2022-10-20 05:50,11170.0,bearish,-115.5,243.25
9,2022-10-20 12:05,11127.75,2022-10-20 13:30,11084.25,bearish,43.5,286.75
10,2022-10-20 18:10,10999.75,2022-10-20 23:20,11023.75,bearish,-24.0,262.75
6,2022-10-21 14:35,11361.25,2022-10-21 14:55,11354.0,bullish,-7.25,255.5
7,2022-10-23 17:00,11499.0,2022-10-23 17:35,11474.25,bullish,-24.75,230.75
11,2022-10-24 03:15,11289.0,2022-10-24 03:50,11298.25,bearish,-9.25,221.5
8,2022-10-24 05:55,11384.5,2022-10-24 07:00,11407.5,bullish,23.0,244.5
9,2022-10-24 10:50,11408.75,2022-10-24 11:30,11423.0,bullish,14.25,258.75
