,entry_time,entry_price,exit_time,exit_price,trend,PNL,cumsum_PNL
0,2022-10-19 02:30,11213.75,2022-10-19 03:50,11211.75,bearish,2.0,2.0
1,2022-10-19 06:10,11168.25,2022-10-19 06:50,11151.25,bearish,17.0,19.0
2,2022-10-19 07:05,11126.75,2022-10-19 09:05,11182.75,bearish,-56.0,-37.0
3,2022-10-19 10:40,11187.5,2022-10-19 10:45,11202.0,bearish,-14.5,-51.5
4,2022-10-19 11:40,11134.0,2022-10-19 12:25,11087.5,bearish,46.5,-5.0
5,2022-10-19 18:15,11085.5,2022-10-19 18:50,11083.25,bearish,2.25,-2.75
6,2022-10-19 20:10,11028.25,2022-10-19 20:40,11031.75,bearish,-3.5,-6.25
0,,,2022-10-19 02:00,11231.5,bullish,,
1,,,2022-10-19 02:35,11219.0,bullish,,
2,,,2022-10-19 05:20,11262.25,bullish,,
3,,,2022-10-19 06:15,11151.0,bullish,,
4,,,2022-10-19 07:10,11146.0,bullish,,
5,,,2022-10-19 09:40,11229.25,bullish,,
6,,,2022-10-19 11:30,11170.5,bullish,,
7,,,2022-10-19 11:45,11113.5,bullish,,
8,,,2022-10-19 12:05,11075.0,bullish,,
9,,,2022-10-19 13:40,11118.0,bullish,,
10,,,2022-10-19 18:00,11091.5,bullish,,
11,,,2022-10-19 18:20,11093.0,bullish,,
12,,,2022-10-19 18:30,11076.75,bullish,,
13,,,2022-10-19 20:15,11034.0,bullish,,
14,,,2022-10-19 20:35,11026.0,bullish,,
15,,,2022-10-19 23:40,11059.75,bullish,,
